4GIX  N050.57.20.498 E006.08.59.708 ; ED
4PB   N048.44.01.770 E007.06.43.829 ; LF
50ALD N047.56.39.649 E010.07.34.579 ; ED
51BBE N050.49.34.989 E004.50.44.300 ; EB
51NAY N048.39.47.908 E005.59.46.568 ; LF
52MCY N049.08.07.101 E005.38.11.000 ; LF
53HOD N050.17.01.460 E011.43.02.391 ; ED
53LGE N050.42.56.998 E005.34.08.000 ; EB
53LND N051.26.17.610 E012.22.00.141 ; ED
54CVN N049.08.36.398 E002.08.20.799 ; LF
55FFM N050.01.13.659 E008.30.16.671 ; ED
55NAY N048.29.47.489 E005.54.33.159 ; LF
55NM  N051.11.49.138 E006.05.57.501 ; ED
55OBI N048.08.57.170 E011.22.33.031 ; ED
56STG N048.40.14.311 E009.07.16.291 ; ED
59BBL N051.13.25.651 E005.35.31.948 ; EB
59NM  N051.12.31.611 E011.45.23.659 ; ED
59STG N048.40.09.148 E009.06.49.078 ; ED
5AGD  N051.02.55.348 E012.35.30.238 ; ED
5PB   N048.48.31.500 E007.18.30.848 ; LF
60ANT N051.08.53.498 E004.36.59.400 ; EB
60BUB N050.53.05.578 E004.22.57.280 ; EB
60CVL N048.45.17.398 E004.21.09.601 ; LF
60LCH N048.15.48.499 E010.57.39.830 ; ED
60LRD N048.16.38.870 E007.45.10.659 ; ED
60WUN N052.32.22.228 E009.30.58.208 ; ED
61BI  N049.30.16.689 E002.00.00.208 ; LF
61FHH N050.01.39.799 E007.20.39.260 ; ED
61NAY N048.29.06.201 E005.54.53.499 ; LF
61NM  N052.25.30.028 E010.22.18.350 ; ED
61PB  N048.49.04.378 E007.19.57.399 ; LF
62NAY N048.40.50.221 E006.00.19.231 ; LF
62NM  N051.02.07.900 E006.15.04.409 ; ED
62NM  N051.16.01.689 E006.59.44.181 ; ED
63EFD N050.59.32.211 E010.47.32.139 ; ED
63IBE N046.59.13.538 E007.24.29.851 ; LS
63IGL N048.41.27.279 E011.24.59.569 ; ED
63IMI N051.10.24.999 E002.42.01.000 ; EB
63PGS N049.00.30.330 E002.46.57.691 ; LF
64PB  N048.48.14.119 E007.21.41.349 ; LF
64POY N048.45.12.999 E002.32.47.101 ; LF
65BBI N052.22.51.808 E013.37.07.849 ; ED
65NM  N052.25.32.829 E010.21.39.409 ; ED
65PB  N048.41.26.041 E007.05.55.928 ; LF
65SDI N048.40.50.930 E004.44.23.179 ; LF
66PB  N048.49.45.238 E007.20.58.419 ; LF
66POY N048.47.06.021 E002.32.01.780 ; LF
67BI  N049.23.05.049 E002.16.13.080 ; LF
6ANT  N051.11.12.800 E004.37.53.119 ; EB
6IPLW N051.37.24.639 E008.38.22.329 ; ED
6KBD  N048.41.50.859 E008.00.13.849 ; ED
6NM   N048.25.55.588 E008.46.27.591 ; ED
6WUN  N052.27.04.528 E009.15.57.729 ; ED
70BO  N049.08.04.891 E016.53.02.421 ; LK
70DUS N051.12.37.339 E006.36.26.031 ; ED
70EFD N050.59.39.749 E010.46.26.500 ; ED
70GSY N050.29.02.209 E004.37.04.169 ; EB
70LRD N048.15.45.010 E007.44.30.890 ; ED
71EFD N050.57.53.611 E011.08.34.130 ; ED
71MAR N046.22.30.338 E015.47.23.370 ; LJ
71POY N048.40.54.300 E002.13.33.398 ; LF
72SIO N046.08.47.248 E007.08.51.158 ; LS
75BNO N049.10.25.478 E016.30.20.120 ; LK
76IGC N050.31.00.861 E004.38.42.698 ; EB
77BI  N049.22.31.439 E002.17.29.108 ; LF
77SMK N046.45.44.618 E016.59.56.911 ; LH
77TNO N048.47.19.921 E002.17.57.879 ; LF
